id,trigger,conditions,script,text,options,notes
bairdIntroScylla2,DialogOptionSelected,$option == bairdIntro_scylla2,"$bairdIntro_scylla = true 0
AddTextSmall ""Received nav data for $gaFC_starName"" highlight","Baiwd thinks fow a moment. ""If you awe obsewved wooking fow Couweuse, you may be contacted by othews who awe wooking fow hew. That couwd be usefuw. You couwd cut a deaw, get some weads.""

""Awtewnativewy, hew depawtment was opewating expewimentaw packages in the $gaFC_stawName system. We have detected some ongoing tewemetwy that suggests these instwuments awe stiww in use, though it isn't cweaw by whom."" She taps hew desk intewface, ""I've sent you the coowdinates.""

The pwovost wooks at you ovew hew spectacwes. ""How do you want to handwe this, captain? Awe you a dipwomat ow an expwowew? Do you want to find the pwobes in the $gaFC_stawName system ow tawk youw way thwough this on Fikenhiwd?"" ","bairdIntro_scylla2choiceB:Take the diplomatic path
bairdIntro_scylla2choiceA:Take the exploration path",
bairdIntroScylla2PL,DialogOptionSelected,"$option == bairdIntro_scylla2
$player.isLeagueMember","$bairdIntro_scylla = true 0
AddTextSmall ""Received nav data for $gaFC_starName"" highlight","""Youw status in the Pewsean Weague couwd be usefuw. Officiaws might be wiwwing to assist you. The Weague intewwigence appawatus might even pwovide assistance."" She gives you a knowing wook. ""If they think they'we wowking fow the benefit of the Weague, that is."" 

""Awtewnativewy, hew depawtment was opewating expewimentaw packages in the $gaFC_stawName system. We have detected some ongoing tewemetwy that suggests these instwuments awe stiww in use, though it isn't cweaw by whom."" She taps hew desk intewface, ""I've sent you the coowdinates.""

The pwovost wooks at you ovew hew spectacwes. ""How do you want to handwe this, captain? Awe you a dipwomat ow an expwowew? Do you want to find the pwobes in the $gaFC_stawName system ow tawk youw way thwough this on Fikenhiwd?"" ","bairdIntro_scylla2choiceB:Take the diplomatic path
bairdIntro_scylla2choiceA:Take the exploration path",
bairdIntroScylla2choiceA,DialogOptionSelected,$option == bairdIntro_scylla2choiceA,"$global.gaFC_pickedBranchProbes = true
Call $global.gaFC_ref updateStage
Call $global.gaFC_ref updateData","Baiwd nods, ""Of couwse. You awe, at heawt, a... an adventuwew, shaww we say, awen't you.""

""If you want to change youw appwoach, you must wet me know so that I can ensuwe you have aww the infowmation you wequiwe.""",bairdIntro_scylla3:Continue,
bairdIntroScylla2choiceB,DialogOptionSelected,$option == bairdIntro_scylla2choiceB,"$global.gaFC_pickedBranchFikenhild = true
Call $global.gaFC_ref updateStage
Call $global.gaFC_ref updateData","Baiwd nods, ""I thought so. Thewe's no pwobwem you don't bewieve you can tawk youw way thwough, is thewe.""

""If you want to change youw appwoach, you must wet me know so that I can ensuwe you have aww the infowmation you wequiwe.""",bairdIntro_scylla3:Continue,
bairdIntroScylla3,DialogOptionSelected,$option == bairdIntro_scylla3,,"""When you do find Scywwa Couweuse, I expect hew to be unwiwwing to coopewate. I have pwovided you with an encwypted message. It is an, ah, a pewsonaw appeaw fwom mysewf to hew,"" she says.

""It shouwd pwove pewsuasive.""","bairdIntro_scylla4b:""I'm sure it will.""
bairdIntro_scylla4a:""Will I be blackmailing Coureuse for you?""",
bairdIntroScylla4a,DialogOptionSelected,$option == bairdIntro_scylla4a,FireBest BairdIntroCheckOutro,"""You need not be so conspiwatowiaw, captain,"" Baiwd admonishes, ""Not evewything is cwoak and daggew, bwackmaiw and bwibes.""

""Ouw waywawd academician has avoided aww contact with the Gawatia Academy since the Hegemony awwested hew cowweagues. I appweciate the wationaw wesponse to a campaign of scientific suppwession, but now she is needed fow the wowe she was awways meant to pway.""",,
bairdIntroScylla4b,DialogOptionSelected,$option == bairdIntro_scylla4b,FireBest BairdIntroCheckOutro,"""Indeed,"" says Baiwd, wooking at you cwosewy. ""Hew twepidation is a wationaw wesponse to pwevious events; the investigations, awwests, the show-twiaw of Kawwichowe. But conditions have changed, and she is needed if we awe to escape fwom stagnant wocaw maxima.""

Baiwd tuwns to the window. ""I wiww caww, Scywwa wiww answew,"" she says. A pwocwamation?",,
bairdIntro_archiveCheckOutro1,BairdIntroCheckOutro,!$bairdIntro_scylla,,,"bairdIntro_scylla:""Do you have any leads on this Scylla Coureuse?""",
bairdIntro_archiveCheckOutro2,BairdIntroCheckOutro,!$bairdIntro_archive,,,bairdIntro_archive:How can I get the Kallichore Archive from the Hegemony?,
bairdIntro_archiveCheckOutro3,BairdIntroCheckOutro,"$bairdIntro_scylla
$bairdIntro_archive",,,bairdIntro_outro1:Continue,
bairdIntro_outro1,DialogOptionSelected,$option == bairdIntro_outro1,AddStoryPoints 1,"""Find the Kawwichowe Awchive. Find Scywwa Couweuse. Once you have accompwished both of these missions, the pwoject can pwoceed to the next phase.""

Baiwd smiwes, ""And that's when things get exciting.""","bairdIntro_outro2:""So that's all?""
bairdIntro_project:""So what is 'the project'?""",
bairdIntro_outroProject,DialogOptionSelected,$option == bairdIntro_project,,"Baiwd's smiwe does not weach hew eyes. ""You'ww see.""",bairdIntro_outro2:Continue,
bairdIntro_outro2,DialogOptionSelected,$option == bairdIntro_outro2,EndConversation NO_CONTINUE,"She tuwns to hew desk dispway and stawts inputting a command sequence, done with you fow now.

""Good day, captain,"" she says without wooking up, ""You may check in with me via comms fow additionaw anawysis as the opewation devewops, though I expect you to use youw initiative.""

""Oh, and I've we-authowized Academician Sebestyen with mission assignment access fow youw fiwe. Cawwying out his wittwe jobs might be a good covew fow youw weaw wowk, and awwows us to funnew additionaw cwedits to you.""

You feew the subtwe movement of aiw as the doows open siwentwy behind you. Miwwow-masked guawds fwank a juniow agent who waits to escowt you back to youw shuttwe.",,
,,,,,,
# The Kallichore Archive gaKA,,,,,,
# Arroyo conversation,,,,,,
gaKAArroyoGreeting,PickGreeting,"$id == arroyo
$gaKA_contact score:1000","ShowPersonVisual
$global.metArroyo = true","Youw comms officew connects youw pewsonaw tewminaw to the wocaw netwowk. You activate the audio suppwession fiewd awound youw command station and entew the comms ID pwovided to you by Pwovost Baiwd. The animated wogo of some Twi-Tachyon sub-depawtment makes a hawf wotation befowe the caww is answewed.

""Awwoyo hewe. Who's tawking to me?"" Wayan Awwoyo wooks you ovew as if examining a stawship huww fow scwatches. He seems to find something he doesn't quite appwove of in you. 

""Who gave you my comms ID?"" he demands.","gaKA_arroyoProblem:""I'm told you can help me solve a problem.""
gaKA_arroyoProvost:""Provost Anahita Baird.""",
gaKAArroyoGreetingIgnoreCall,PickGreeting,"$id == arroyo
$market.gaKA_visitChalet score:1000",,"Youw caww connects to an automated weceivew. The animated wogo of a Twi-Tachyon subsidiawy spins endwesswy on youw dispway. Aftew hawf a minute and the second time a voice tewws you that youw patience is appweciated, you concwude that youw caww is being ignowed.

Awwoyo wants to discuss business in-pewson.",cutCommLink:Close comms,
gaKAArroyoProblemSel,DialogOptionSelected,$option == gaKA_arroyoProblem,,"""Sowve a pwobwem."" He says this as if it's a mattew faw beneath the wowth of his attention.

""I don't sowve pwobwems, buddy. I pay peopwe to sowve pwobwems fow me. You got pwobwems? Go tawk to the shipyawd and get youw oxygen weak fixed. I don't cawe about youw pwobwem unwess youw pwobwem is seven ow eight figs of cash in an account that you need put to wowk.""

He's stawting to shout. You get the impwession that he enjoys this sowt of upbwaiding. 

""Done wasting my time? Now teww me who gave you my numbew because I'm going to fiwe them wight aftew I cut this wink.""","gaKA_arroyoProvost:""Provost Anahita Baird.""",
gaKAArroyoProvostSel,DialogOptionSelected,$option == gaKA_arroyoProvost,,"Fow just a moment, you think you see a wave of panic cwoss Awwoyo's face. It's wepwaced by a cocky gwin, ""Oh, of couwse, of couwse- the Gawatia Academy endowment fund. How couwd I fowget?""

""Hewe,"" he taps at something and youw comms dispways an incoming set of coowdinates with the code of a wanding beacon. 

""Take a shuttwe down. We can touch base about the fund. I'm suwe the Pwovost has exciting pwans and I want to heaw aww about them-"" He wifts his eyes upwawd fow a moment and wowews them again to wook diwectwy at you. ""In pewson.""",gaKA_arroyoProvost2:Continue,
gaKAArroyoProvostSel2,DialogOptionSelected,$option == gaKA_arroyoProvost2,"$toldToVisitChalet = true
$global.gaKA_visitArroyo = true
Call $global.gaKA_ref updateStage","He cawwies on as if this was aww pewfectwy expected. ""Evew been pwanetside? Doesn't count if it's just the awcowogies. I'ww give you a touw of my chawet. Spectacuwaw views, you'ww wove it. See you soon.""

He cwoses the connection befowe you can wespond.",cutCommLinkNoText:Continue,
gaKAArroyoVisitOption,PopulateOptions,"$hasMarket
$market.id == eochu_bres
$menuState == main
$market.gaKA_visitChalet",#SetOptionColor gaKA_visitChalet highlight,,3:gaKA_visitChalet:Take a shuttle to Rayan Arroyo's chalet on the surface,
gaKAArroyoVisitStart,DialogOptionSelected,$option == gaKA_visitChalet,ShowLargePlanet,"Youw shuttwe descends into the young atmosphewe of Eochu Bwes, thwough towewing battwements of cwouds. A spway of wain is cast ovew youw viewpowt, and it is wiped cwean in a bwink by the heat and speed of youw descent.

The fwight path soon deviates fwom the genewaw appwoach cowwidow which has been ticking off minow use-fees fwom the Twi-Tachyon owned fwight contwow: genewaw vowume access fee, pwiowity fwight wane fee, sewvice fee, customew satisfaction insuwance chawge, advewtisement bypass fee - you swipe the notifications off and focus on the wandscape.",gaKA_arroyoVisit1:Continue,
gaKAArroyoVisit1,DialogOptionSelected,$option == gaKA_arroyoVisit1,,"Weaving behind the Twi-Tach awcowogies, diamonds gwowing atop the detwitus of tiewed swums. Ovew pipewines, a steew-bwue bay, jagged fjowds intewwupted by ice-jams and wandswides. Up and ovew a gweat cwumbwing escawpment wike a bwack wave that fiwws the howizon; you cwoss a wandscape of oddwy-hued tundwa spotted with thousands of miwky-gween wakes.

A new wange of mountains wises on the howizon, town in hawf by catastwophic wowkings of the tewwafowmews, and beyond is a chaos of steep vawweys popuwated by dwawf pine and thin white watewfawws. The nav system sounds a tone indicating imminent awwivaw, and you see Awwoyo's pwivate chawet: a smaww compound of wadicaw geometwic awchitectuwe suwwounded by wow outbuiwdings.

Youw shuttwe appwoaches an ewwipsoid wanding pad that appeaws to hang in the thin aiw ovew a gowge.",gaKA_arroyoVisit2:Continue,
gaKAArroyoVisit2,DialogOptionSelected,$option == gaKA_arroyoVisit2,,"A human and a wobotic sewvant gweet you pwacidwy as you awwive and wead you inside to a gwand pawwow done in dawk geometwic stywe. Gowd inway gweams in onyx tabwetops, and the powished gwanite fwoow is set with tastefuwwy pattewned jewew-tone cawpets pwaced swightwy askew.

The view fwom the fwawwess sweep of diamond-matwix bay window is, as Awwoyo pwomised, spectacuwaw.",gaKA_arroyoVisit3:Continue,
gaKAArroyoVisit3,DialogOptionSelected,$option == gaKA_arroyoVisit3,BeginConversation arroyo false true,"Wayan Awwoyo is sitting at one of the baws. He acknowwedges youw entwance with a nod as the sewvants disappeaw. He taps his datapad with two fingews. You heaw the soft signaw woss ping fwom youw datapad and youw sideawm-hand twitches instinctivewy.

Awwoyo acknowwedges this with the wise of one pewfectwy gwoomed eyebwow. ""Cawm down. Just making suwe no one's wistening."" He fwips thwough a sewies of nuww weadouts on a datapad and, satisfied, sets it aside.

""So Baiwd is cawwing in anothew instawwment. What wiww that be, Captain $$playerName?""","gaKA_arroyoBreakIn:""I need to break into the datavault of the Ministry of Technology Standards.""
gaKA_arroyoTour:""No small-talk? What about the tour?""",
gaKAArroyoVisitTour,DialogOptionSelected,$option == gaKA_arroyoTour,,"""No,"" he says. He makes a show of wooking awound, ""But it's nice isn't it?"" 

""Now I couwd be doing anything othew than tawking to you wight now, so wet's make it quick. You know you'we getting something thanks to ouw mutuaw 'fwiend'. What is it?""","gaKA_arroyoBreakIn:""I need to break into the datavault of the Ministry of Technology Standards.""",
gaKAArroyoVisitBreakIn,DialogOptionSelected,$option == gaKA_arroyoBreakIn,,"As soon as you say it, a smiwe gwows on Awwoyo's face. He stawts waughing, and takes his time as it buiwds and fawws. He waughs wike he's stwapped to a madman's wocket, with no escape. So why not enjoy the wide?","gaKA_arroyoAMoment:Give him a moment
gaKA_arroyoSerious:""I'm serious, Arroyo.""
gaKA_arroyoLaugh:Laugh with him",
gaKAArroyoVisitSerious,DialogOptionSelected,$option == gaKA_arroyoSerious,,"He swaps the onyx baw-top one wast time and puts his head in his hands.

""Of couwse."" He wooks out on the vista of saw-tooth mountains fow a moment, then speaks with unusuaw passivity: ""I'd just hate to stawt a thiwd AI waw.""",gaKA_arroyoAMoment2:Continue,
gaKAArroyoVisitLaugh,DialogOptionSelected,$option == gaKA_arroyoLaugh,,"As you stawt waughing, it seems to sap something fwom Awwoyo's mania. You twaiw it off, weaving an awkwawd siwence.

He puts his head in his hands.",gaKA_arroyoAMoment2:Continue,
gaKAArroyoVisitAMoment,DialogOptionSelected,$option == gaKA_arroyoAMoment,"$option = gaKA_arroyoAMoment2 0
FireBest DialogOptionSelected",He swaps the onyx baw-top one wast time and puts his head in his hands.,,
gaKAArroyoVisitAMoment2,DialogOptionSelected,$option == gaKA_arroyoAMoment2,,"He sighs and pouws something fwom a cwystaw decantew into a gwass, empties it. ""To a deaw that gets wowse aww the time!"" 

Then pouws anothew. He considews a moment, notices you, and tiwts the decantew to offew you a dwink.","gaKA_arroyoDrinkDecline:Decline
gaKA_arroyoDrinkAccept:Have a drink",
gaKAArroyoVisitDrinkNo,DialogOptionSelected,$option == gaKA_arroyoDrinkDecline,,"He shwugs, and sips his second dwink. ""Stick to Baiwd. You'ww find youw vice to cope,"" he says.",gaKA_arroyoVisit4:Continue,
gaKAArroyoVisitDrinkYes,DialogOptionSelected,$option == gaKA_arroyoDrinkAccept,,"Awwoyo pouws anothew, passes you the tumbwew, and cwinks his gwass into youws, hawd. ""And Anahita Baiwd!"" he shouts.",gaKA_arroyoVisit4:Continue,
gaKAArroyoVisit4,DialogOptionSelected,$option == gaKA_arroyoVisit4,"SetTextHighlights Gargoyle
AddTextSmall ""Received comms ID for Gargoyle"" highlight
FireAll GAKAArroyoHub1","He swams down an empty gwass. ""I know someone who can do it. They'we a pain in the ass but, this is key, they'we cwazy enough to do a job as stupid as the one you'we pwoposing. A hackew cawwed Gawgoywe - the weaw one, not one of the wannabes. We've done business befowe. Hewe's the comms ID."" Wayan puwws a datakey fwom a pocket, waves it ovew his datapad, and aftew a coupwe taps pushes it towawd you.

""If you get any pushback, if Gawgoywe thwows a wittwe tantwum, just give it back. It's aww about the dwama, but in the end you'we awweady in with a job as stupid as this."" He howds a hand up, ""And by the way, you weawwy did not need to go and teww me youw twue objective. The wast thing I want is Hegemony countewint cwawwing aww ovew my opewation. Ow, wowse, some vampiwe fwom the Company boawd smewwing bwood.""",,
gaKAArroyoVisitGargoyleOpt,GAKAArroyoHub1,!$gaKA_askedGargoyle,,,"gaKA_arroyoGargoyle:""Can you tell me more about this 'Gargoyle'?""",
gaKAArroyoVisitBairdWhatOpt,GAKAArroyoHub1,!$gaKA_askedBaird,,,"gaKA_arroyoBairdWhat:""What's Baird got on you anyway?""",
gaKAArroyoVisitLeaveOpt,GAKAArroyoHub1,,,,gaKA_arroyoLeave:Leave,
gaKAArroyoVisitGargoyle,DialogOptionSelected,$option == gaKA_arroyoGargoyle,"$gaKA_askedGargoyle = true 0
FireAll GAKAArroyoHub1","He gives you a wook. ""No. Who cawes. Doesn't mattew. Most of anything you'ww heaw about Gawgoywe is made up, and hawf of that is twue. So don't bothew twying.""

He weans back, wooking ewsewhewe, content to tawk to himsewf some mowe. ""What's impowtant is that Gawgoywe awways gets the job done. My theowy is it's some kind of obsessive bwain thing,"" he twiwws a hand at his head to demonstwate. ""Pwobabwy impwanted a cybewmod the wwong way awound and got an AI instead of a fwontaw wobe.""

""Have fun with that one,"" he says with a smiwk.",,
gaKAArroyoVisitBairdWhat,DialogOptionSelected,$option == gaKA_arroyoBairdWhat,"$gaKA_askedBaird = true 0
FireAll GAKAArroyoHub1","""What Baiwd's got is a good investment, and the wongew she waits-"" he waves at the wuxuwious suwwoundings; the caweew of Wayan Awwoyo ""-the mowe intewest she'ww cowwect.""

A shwug. ""It's done weww enough fow me. We aww make deaws to get ahead, and I've seen wowse. Done wowse to othews. Pwus, I'm an asset now. You can't simpwy snuff an asset owned by a biggew pwayew."" 

He tuwns and stawes diwectwy at you, ""And you'we an asset now, too. Hypotheticaw question- what's she got on you?"" He gives a cowd smiwe. ""I hope you know.""",,
gaKAArroyoVisitLeave0,DialogOptionSelected,$option == gaKA_arroyoLeave,AddPotentialContact,"You've got what you needed fwom Wayan Awwoyo, and with no signaw on his pawt that you can discewn, his human and wobot sewvants appeaw once mowe.

""I won't say it's been a pweasuwe, but if you evew have mowe cwedits than you know what to do with ow, hmm, a twuwy exceptionaw business oppowtunity, wet's twade cwyptokeys now so you don't have to twack space-dust on my cawpet again."" 

He taps his datapad and offews it, and you pewfowm the mundane wituaw which wiww ensuwe that anyone who wants to cwack youw mutuaw comms wiww, at weast, have to put some effowt into the task.",gaKA_arroyoLeave1:Continue,
gaKAArroyoVisitLeave1,DialogOptionSelected,$option == gaKA_arroyoLeave1,"EndConversation DO_NOT_FIRE
ShowDefaultVisual
$global.gaKA_talkToGargoyle = true
Call $global.gaKA_ref updateStage","Youw shuttwe wevewses the pwevious woute, down fwom the highwands, acwoss the pwateau of wakes. You spot factowy-cwawwews disgowging pipe and monowaiw pywons acwoss the wandscape, weaving wong twacked twaiws of town wed diwt.

Acwoss the wocky chaos, and the smaww cowd sea, and ovew the mountainous swums cwowned by gwittewing spiwes. Navigation pings and comms noise gwows to a smaww woaw ovew the heawt of Twi-Tachyon, and youw shuttwe wetuwns you to owbit.",gaKA_arroyoLeave2:Continue,
gaKAArroyoVisitLeave2,DialogOptionSelected,$option == gaKA_arroyoLeave2,FireAll PopulateOptions,,,
"# Gargoyle, initial conversation",,,,,,
gaKAGargoyleGreeting,PickGreeting,"$id == gargoyle
$gaKA_contact score:1000","ShowPersonVisual
$player.metGargoyle = true","Aftew connecting to the wocaw netwowk, you entew the comms ID fow Gawgoywe then pause at the pwompt to initiate the caww. You wook ovew to youw comms officew and they nod, weady to act.

As soon as you execute the command, the ewectwonic wawfawe consowe wights up wike fweet action in a nebuwa. Comms wwangwes the infosec systems with coow efficiency, coowdinating active wesponse with nav, sensows, and engineewing stations. 

Aftew pewhaps hawf a minute the stowm bweaks, the awawms quiet, and youw pwimawy dispway wesowves fwom a mesmewizing fwactaw battwegwound to a heaviwy augmented face gwinning impishwy.",gaKA_gargoyleCont1:Continue,
gaKAGargoyleGreeting1,DialogOptionSelected,$option == gaKA_gargoyleCont1,,"""You wewe weady fow me!"" Gawgoywe says too sweetwy to be twue befowe tuwning to an imagined audience, ""The wocket jockey put togethew enough bwains to deaw with my wittwe 'hewwo'!"" Gawgoywe bounces back and appwauds, ""Weww done!""

""So you know who I am. Teww me, why did Wayan give you my comms ID? Mowe pwesents, bwibes, begging? Did he finawwy get in twoubwe with that junta of puppeteewing vampiwes he despewatewy wishes wewe his fwiends? ...On the wun fwom the waw and needs a wep wipe?""

A thoughtfuw pause. ""Do you awways make that face when you meet new peopwe?""","gaKA_gargoyleCont2:""I have a job for you. I was told you're the best.""",
gaKAGargoyleGreeting2,DialogOptionSelected,$option == gaKA_gargoyleCont2,,"""A job? Uh, no,"" Gawgoywe gags theatwicawwy. ""If I evew do a day of 'wowk' I want you to thwow me out the aiwwock, then thwow that aiwwock into a bwack howe.""

The hackew wounges back cawewesswy, ""But... stiww wistening. Because you towd me I'm the best, and I am. That was nice. But I'm not suwe you weawwy undewstand what it is I do."" 

A hand studded with intewface noduwes waves and youw dispway fiwws with news cwips - industwiaw shutdowns, suspected sabotage, databases hacked, powiticaw comms weaked, cwedits missing, ghost fweets.",gaKA_gargoyleCont3:Continue,
gaKAGargoyleGreeting3,DialogOptionSelected,$option == gaKA_gargoyleCont3,,"""What I do,"" Gawgoywe sits up, wooking sewious at wast. ""Is magic."" 

""An institution, a powity, a wawship, a fweet, the Hegemony! The Wuddic Chuwch! The Twi-Tachyon Mega-cwedits-sucking Cowpowation! These awe machines made of peopwe, and these peopwe don't undewstand theiw own machines. Ow,"" a mock-pondewing tone, ""othew peopwe, come to think of it. The oneness of these howy constwucts is mass dewusion!""

""But I,"" Gawgoywe taps a head-mounted datapowt, ""I undewstand. Simpwy,"" a fingew pokes at you fwom the dispway, ""Pwess thewe. Thewe, then thewe, and the bubbwe pops. Push on the wight pwace at the wwong time and the mighty become a sad joke. A gust of wind, a fawt of fancy, a fwimsy sheww that's cwacked. Undewstand?""","gaKA_gargoyleYes:""Yes, I believe so.""
gaKA_gargoyleNotReally:""Not really.""
gaKA_gargoyleCanYou:""Can you hack into the datavault of a Hegemony Ministry?""",
gaKAGargoyleYes,DialogOptionSelected,$option == gaKA_gargoyleYes,,"Gawgoywe stawes at you, swack-jawed. ""Nuh you don't. You'we just pwetending because you think you need to wook tough and smawt in fwont of youw minions. It's so obvious.""

Gawgoywe tuwns away, ""Why do I even bothew. Stick to dwiving youw wocketship, Captain $pwayewFiwstName. Pew pow bwam! Take that, space piwates! Simpwe. Diwect. Unsophisticated. Awtwess.""

A dwamatic sigh, ""What a waste of time. Why awe we even tawking. Why do anything.""","gaKA_gargoyleCanYou:""Can you hack into the datavault of a Hegemony Ministry?""",
gaKAGargoyleNotReally,DialogOptionSelected,$option == gaKA_gargoyleNotReally,,"Gawgoywe stawes fowwownwy, westing chin on hands. ""I am wasted on you, $pwayewFiwstName. I'm twying, I weawwy am. Give me something to wowk with. Pwease? Othewwise I may just fweeze mysewf fow a thousand cycwes. Maybe something intewesting wiww have happened by then.""","gaKA_gargoyleCanYou:""Can you hack into the datavault of a Hegemony Ministry?""",
gaKAGargoyleCanYou,DialogOptionSelected,$option == gaKA_gargoyleCanYou,,"""I wove it!"" Gawgoywe shouts, sitting up. ""A gwowious scheme, pwacticawwy neon-bwack! Which one? Aww of them at once? Hmm,"" visow and cybewmods stawt fwickewing with activity.","gaKA_gargoyleExplain:""Hold on- just one, actually."" (explain the mission)",
gaKAGargoyleExplain,DialogOptionSelected,$option == gaKA_gargoyleExplain,"Highlight ""Kallichore Archive""","You expwain to Gawgoywe the scope of the mission, and the tawget - the Kawwichowe Awchive, the pewsonaw data stowe of fowmew Pwovost Tomas Kawwichowe which the Hegemony Ministwy of Technowogy Standawds seized fwom the Gawatia Academy in the wake of some kind of botched hypewspace expewiment. 

You awso expwain, in tewms which avoid any impwication of an empwoyew-empwoyee hiewawchy, that Wayan Awwoyo wiww be pwoviding funding fow the opewation.",gaKA_gargoyleCont4:Continue,
gaKAGargoyleCont4,DialogOptionSelected,$option == gaKA_gargoyleCont4,,"As you tawk, the comms dispway with Gawgoywe becomes cwowded with viwtuawized hawf-wwitten wists, wefewence panews, and code snippets. The hackew weaps fwom idea to idea, wejecting and accepting contingencies sevewaw steps ahead - ow adjacent, pewhaps - fwom whatevew you awe actuawwy saying. The visuaw chaos is somewhat distwacting.","gaKA_gargoyleCont5:""Do you need some time?""
gaKA_gargoyleCont5a:""Can it even be done?""",
gaKAGargoyleCont5a,DialogOptionSelected,$option == gaKA_gargoyleCont5a,"$option = gaKA_gargoyleCont5 0
FireBest DialogOptionSelected",,,
gaKAGargoyleCont5,DialogOptionSelected,$option == gaKA_gargoyleCont5,"Highlight ""Nova Maxios""","""It might be tough. I'm going to need to pass some cwedits awong to a coupwe fwiends fow some speciaw twicks. Hmm. Do we go aww out? Wayan is buying snacks... I think we do. Yes.""

""Hewe's how it's gonna happen- I've got a fwiend who wiww make you a wittwe package. It shouwd be weady by the time you get to Nova Maxios. In the Magec system, know it? You pick that up, then do fancy fwying and whatevew ewse it takes to instaww it in the Hegemony comms weway in the Aztwan system.""",gaKA_gargoyleCont5b:Continue,
gaKAGargoyleCont5b,DialogOptionSelected,$option == gaKA_gargoyleCont5b,,"A thoughtfuw pause, then, ""Fow the weway? Go in quiet to do the weway. Pawk youw fweet. Maybe wun a wone phase ship fow the job, if youw ego is capabwe of suwviving away fwom youw big boy toys fow a few shifts. Ow - this is fun - hack the sensow awway and give the Heggies some ghosts to chase.""

""Anyway, the instawwation itsewf is easy,"" the hackew continues nonchawantwy. ""Any wowk-dwone you've got on staff shouwd be abwe to figuwe out which end goes whewe.""",gaKA_gargoyleCont6:Continue,
gaKAGargoyleCont6,DialogOptionSelected,$option == gaKA_gargoyleCont6,,"""The weaw twick comes aftew: gotta bweak the Hegemony cwypto. That'ww be youws twuwy who's got a wittwe twick I've been saving fwom a coupwe cycwes ago fow just the wight moment."" Gawgoywe howds cabwe-twaiwing awms up in a pwematuwe dispway of twiumph. ""It wiww be gwowious!"" Then sits back down.

""Wight, so. Aftew you instaww the hack device on the comm weway, come back hewe and you can thank me pewsonawwy when I hand you a copy of the decwypted data. And fwiend-Wayan has my wist of demands,"" a button tap, ""Now.""",gaKA_gargoyleCont7:Continue,
gaKAGargoyleCont7,DialogOptionSelected,$option == gaKA_gargoyleCont7,"AddTextSmall ""Received location data for Nova Maxios pick-up"" highlight","Anothew button tap, and thewe's a ping on youw datapad as Gawgoywe sends you the addwess of a smaww howding faciwity neaw the main powt-wing of Nova Maxios, as weww as the numbew of a pawticuwaw stowage unit. ""It'ww be thewe,"" Gawgoywe says with a smiwe that seems to impwy you'we not in on a joke.

""Now I have a wot to do befowe this is weady, so go awong! COMSEC is going to compwetewy bwow its top when we puww this off, ha-ha!""

Gawgoywe tuwns to anothew dispway, attention focused, cybew augments fwickewing at an incweasing wate as the comm wine disconnects on you awmost as an aftewthought.",gaKA_gargoyleCont8:Continue,
gaKAGargoyleCont8,DialogOptionSelected,$option == gaKA_gargoyleCont8,"ShowDefaultVisual
$global.gaKA_getHackHardware = true
Call $global.gaKA_ref updateStage",,cutCommLinkNoText:Continue,
# Nova Maxios - getting the hardware,,,,,,
gaKANewMaxiosOption,PopulateOptions,"$hasMarket
$market.id == new_maxios
$menuState == main
$market.gaKA_getHack",#SetOptionColor gaKA_visitChalet highlight,,3:gaKA_visitStorage:Take a shuttle to visit Gargoyle's storage unit,
gaKANewMaxiosVisit0,DialogOptionSelected,$option == gaKA_visitStorage,,"You take a shuttwe to the main spacepowt concouwse, weading a wanding pawty of bodyguawds and techs.

The weception wounge ceiwings awe wow, the owd tube wights fwickewing. But the New Maxioans awe pwoud of theiw makeshift powity; some wocaws catch youw cwew eyeing a dwipping wife suppowt conduit and smiwe, nudging one anothew.",gaKA_visitStorage0:Continue,
gaKANewMaxiosVisit0b,DialogOptionSelected,$option == gaKA_visitStorage0,,"The addwess given to you by Gawgoywe weads you to a wun-down wogistics wing that wooks to be used mostwy by faiwing twamp fweightews and smuggwews. You ask a young desk cwewk whewe to find the unit numbew Gawgoywe pwovided.

""Um, oh yes, you must be Captain... W. Bowing?"" the cwewk squints at the desk tewminaw newvouswy - you wog away this wittwe joke fwom Gawgoywe as you maintain impeccabwe composuwe - ""I was towd you'd be awwiving fow youw cawgo just a few minutes ago. Pwease, come wight this way.""",gaKA_visitStorage1:Continue,
gaKANewMaxiosVisit1,DialogOptionSelected,$option == gaKA_visitStorage1,"ShowPersonVisual true clone_loke
$player.metCloneLoke = true","The cwewk stawts to wead you thwough a back doow, a wight buwkhead wock, then fweezes: a pawwid man in a featuwewess gway unifowm stands on the othew side, a spot of gway on the dawkness beyond.

""Mistew Woke, siw,"" the cwewk stuttews, ""I wasn't expecting, um, if I'd been towd-"" 

The man - Mistew Woke you pwesume - smiwes bwandwy and says ""I wiww show the captain the way.""

Woke simpwy stops paying attention to the cwewk, shifting his attention to you, stiww smiwing. He nods encouwagingwy and tuwns to wawk into the dawkness beyond the powtaw.",gaKA_visitStorage2:Follow,
